,service_number,direction,operator,category,origin_stop_code,destination_stop_code,AM_peak_interval,AM_offpeak_interval,PM_peak_interval,PM_offpeak_interval,service_description
67,107,1,SBST,TRUNK,64009.0,3239.0,07-10,09-17,09-17,17-17,
68,107,2,SBST,TRUNK,3239.0,64009.0,13-15,09-16,09-10,09-10,
69,107M,1,SBST,TRUNK,64009.0,64009.0,14-15,09-17,13-16,13-14,Raffles Blvd
70,109,1,SBST,TRUNK,66009.0,99009.0,9-15,08-17,08-20,11-15,
71,109,2,SBST,TRUNK,99009.0,66009.0,10-15,09-17,10-13,13-19,
72,109A,1,SBST,TRUNK,66009.0,64611.0,-,-,28-28,15-26,
73,10e,1,SBST,EXPRESS,85049.0,3217.0,10-14,-,-,-,
74,10e,2,SBST,EXPRESS,3222.0,85041.0,-,-,10-10,-,
75,11,1,SBST,TRUNK,80009.0,80009.0,15-17,15-19,15-19,15-18,Rhu Cross
76,111,1,SBST,TRUNK,11009.0,11009.0,9-10,9-14,11-11,10-14,Temasek Ave
77,112,1,SBST,TRUNK,64009.0,64009.0,10-13,10-14,10-13,12-15,Hougang St 92
78,112A,1,SBST,TRUNK,64009.0,63031.0,-,-,-,15-15,
79,113,1,SBST,TRUNK,64009.0,64009.0,14-15,11-18,16-18,11-17,Upp Paya Lebar Rd
80,113A,1,SBST,TRUNK,63039.0,63031.0,-,-,16-21,-,Upp Paya Lebar Rd
81,115,1,SBST,TRUNK,63221.0,63221.0,31-31,29-50,32-32,-,Hougang Ave 3
82,116,1,SBST,TRUNK,64009.0,64009.0,09-10,10-14,10-10,10-14,S'goon Ctrl
83,117,1,SBST,TRUNK,65009.0,58009.0,12-12,12-15,13-13,14-15,
84,117,2,SBST,TRUNK,58009.0,65009.0,12-13,13-15,14-15,14-15,
85,117A,1,SBST,TRUNK,59479.0,59041.0,13-13,-,-,-,
86,117B,1,SBST,TRUNK,58009.0,59073.0,-,-,-,-,
87,120,1,SBST,TRUNK,10499.0,10499.0,11-12,12-15,12-13,12-16,Telok Blangah Hts
88,121,1,SBST,TRUNK,10499.0,10499.0,10-10,10-13,10-12,10-12,Telok Blangah Rise
89,122,1,SBST,TRUNK,10499.0,10499.0,11-13,12-16,13-17,13-17,C'wealth Dr
90,123,1,SBST,TRUNK,10009.0,14539.0,10-13,12-15,12-16,14-16,
91,123,2,SBST,TRUNK,14539.0,10009.0,11-11,11-15,12-15,14-15,
92,123M,1,SBST,TRUNK,14009.0,14009.0,10-14,10-20,12-15,14-15,Tiong Bahru Rd
93,124,1,SBST,TRUNK,52499.0,14009.0,06-08,06-10,06-08,06-10,
94,124,2,SBST,TRUNK,14009.0,52499.0,05-09,05-10,05-09,07-11,
95,125,1,SBST,TRUNK,52499.0,52499.0,11-12,9-18,9-17,15-18,Sims Dr
96,125A,1,SBST,TRUNK,81081.0,60219.0,07-13,-,-,-,
97,127,1,SBST,TRUNK,75009.0,75009.0,10-10,15-20,10-15,10-20,Tampines Ind Ave 5
98,127A,1,SBST,TRUNK,75009.0,75281.0,-,-,-,19-19,
99,128,1,SBST,TRUNK,55009.0,3239.0,15-15,-,-,-,
100,128,2,SBST,TRUNK,3239.0,55009.0,-,-,15-15,-,
101,129,1,SBST,TRUNK,75019.0,52499.0,12-12,15-15,12-15,12-15,
102,129,2,SBST,TRUNK,52499.0,75019.0,12-12,15-15,12-15,12-15,
103,13,1,SBST,TRUNK,55509.0,94009.0,09-11,08-13,10-14,13-17,
104,13,2,SBST,TRUNK,94009.0,55509.0,10-13,08-14,08-11,11-19,
105,130,1,SBST,TRUNK,54009.0,3239.0,08-10,10-14,10-16,14-16,
106,130,2,SBST,TRUNK,3239.0,54009.0,12-14,10-14,10-14,13-15,
107,130A,1,SBST,TRUNK,54009.0,53189.0,10-22,10-42,-,-,
108,131,1,SBST,TRUNK,52499.0,10009.0,07-11,09-14,09-10,10-14,
109,131,2,SBST,TRUNK,10009.0,52499.0,09-10,09-14,09-10,10-13,
110,131A,1,SBST,TRUNK,52499.0,3217.0,21-21,-,-,-,
111,131M,1,SBST,TRUNK,10009.0,10009.0,27-33,29-29,24-33,33-33,Bt Purmei Ave
112,132,1,SBST,TRUNK,64009.0,10009.0,09-16,08-19,13-19,13-19,
113,132,2,SBST,TRUNK,10009.0,64009.0,11-15,10-19,07-14,15-16,
114,133,1,SBST,TRUNK,54009.0,3239.0,08-09,09-12,09-12,10-12,
115,133,2,SBST,TRUNK,3239.0,54009.0,11-12,08-11,08-09,10-11,
116,134,1,SBST,TRUNK,80289.0,80289.0,10-10,10-12,12-12,11-12,Marine Terr
117,135,1,SBST,TRUNK,54009.0,54009.0,10-11,09-14,11-17,12-15,Siglap Rd
118,135A,1,SBST,TRUNK,54009.0,93201.0,-,-,-,14-14,Siglap Rd
119,137,1,SBST,TRUNK,80289.0,94009.0,15-15,15-15,15-15,15-15,
120,137,2,SBST,TRUNK,94009.0,80289.0,15-15,15-15,15-15,15-15,
121,137A,1,SBST,TRUNK,84031.0,84451.0,15-19,-,-,-,
122,138,1,SBST,TRUNK,54009.0,54009.0,10-11,08-11,08-11,08-12,Mandai Lake Rd
123,138A,1,SBST,TRUNK,54009.0,48131.0,-,13-14,-,-,Mandai Lake Rd
124,138B,1,SBST,TRUNK,54009.0,55121.0,-,-,22-22,14-24,
125,139,1,SBST,TRUNK,52009.0,10009.0,08-10,10-15,10-13,13-17,
126,139,2,SBST,TRUNK,10009.0,52009.0,10-12,09-16,10-13,12-17,
127,139M,1,SBST,TRUNK,52009.0,52009.0,10-19,12-20,10-20,12-18,Jln Bahagia
128,13A,1,SBST,TRUNK,54019.0,53231.0,10-19,11-19,-,-,
129,14,1,SBST,TRUNK,84009.0,17009.0,09-12,07-16,14-15,10-19,
130,14,2,SBST,TRUNK,17009.0,84009.0,12-14,09-16,10-12,13-17,
131,140,1,SBST,TRUNK,80009.0,80009.0,14-14,14-15,14-15,14-15,St. Wilfred Rd
132,141,1,SBST,TRUNK,80009.0,52009.0,11-13,13-15,14-15,13-15,
133,141,2,SBST,TRUNK,52009.0,80009.0,10-12,12-15,11-15,13-15,
134,142,1,SBST,TRUNK,52009.0,52009.0,08-09,07-10,08-08,08-11,Potong Pasir Ave 1
135,142A,1,SBST,TRUNK,52009.0,60209.0,-,-,-,-,Potong Pasir Ave 1
136,145,1,SBST,TRUNK,52009.0,11379.0,06-08,06-14,09-11,11-14,
137,145,2,SBST,TRUNK,11379.0,52009.0,07-09,06-11,06-10,12-14,
138,145A,1,SBST,TRUNK,10209.0,14249.0,09-24,12-26,-,-,
139,147,1,SBST,TRUNK,64009.0,17009.0,06-11,06-18,09-13,07-13,
140,147,2,SBST,TRUNK,17009.0,64009.0,07-10,08-14,07-10,09-11,
141,147A,1,SBST,TRUNK,64009.0,5019.0,17-23,15-51,-,-,
142,147e,1,SBST,EXPRESS,4239.0,17009.0,20-20,20-30,20-30,20-30,
143,147e,2,SBST,EXPRESS,17009.0,4222.0,20-30,20-30,20-20,20-30,
144,14A,1,SBST,TRUNK,84009.0,9059.0,18-18,14-24,-,-,
145,14e,1,SBST,EXPRESS,84211.0,9048.0,12-13,-,-,-,
146,14e,2,SBST,EXPRESS,9048.0,84219.0,-,-,12-12,-,
147,150,1,SBST,TRUNK,82009.0,82009.0,12-12,13-15,12-13,14-15,Marine Terr
148,151,1,SBST,TRUNK,64009.0,16009.0,06-12,06-15,08-10,14-17,
149,151,2,SBST,TRUNK,16009.0,64009.0,07-13,07-17,08-09,10-20,
150,151e,1,SBST,EXPRESS,64009.0,16009.0,15-15,-,-,-,
151,151e,2,SBST,EXPRESS,16009.0,64009.0,-,-,15-15,-,
152,153,1,SBST,TRUNK,10009.0,64009.0,10-14,10-16,9-11,15-16,
153,153,2,SBST,TRUNK,64009.0,10009.0,10-14,8-15,9-18,15-19,
154,154,1,SBST,TRUNK,22009.0,82009.0,05-10,07-19,06-16,09-19,
155,154,2,SBST,TRUNK,82009.0,22009.0,09-13,06-14,06-11,08-15,
156,154A,1,SBST,TRUNK,21551.0,28091.0,22-25,-,-,-,
157,154B,1,SBST,TRUNK,22009.0,12101.0,08-42,-,-,-,
158,155,1,SBST,TRUNK,52009.0,84009.0,10-15,09-16,15-17,14-17,
159,155,2,SBST,TRUNK,84009.0,52009.0,10-12,10-18,10-17,16-17,
160,156,1,SBST,TRUNK,67009.0,17009.0,09-17,09-17,11-15,15-19,
161,156,2,SBST,TRUNK,17009.0,67009.0,11-14,09-17,10-14,15-17,
162,157,1,SBST,TRUNK,52009.0,22009.0,08-14,07-15,08-10,11-15,
163,157,2,SBST,TRUNK,22009.0,52009.0,09-11,07-15,08-12,11-17,
164,158,1,SBST,TRUNK,66009.0,66009.0,11-13,10-16,13-14,13-17,Rhu Cross
165,158A,1,SBST,TRUNK,81089.0,81081.0,24-27,-,-,-,Rhu Cross
166,159,1,SBST,TRUNK,67009.0,52009.0,05-14,05-13,08-12,11-13,
167,159,2,SBST,TRUNK,52009.0,67009.0,08-15,05-15,09-12,10-13,
168,159A,1,SBST,TRUNK,67009.0,54399.0,12-25,15-15,-,-,
169,159B,1,SBST,TRUNK,54391.0,54481.0,03-55,-,-,-,
170,16,1,SBST,TRUNK,84009.0,10009.0,08-09,07-13,10-12,10-12,
171,16,2,SBST,TRUNK,10009.0,84009.0,10-10,07-13,10-11,10-13,
172,160,1,SBST,TRUNK,28009.0,28009.0,15-18,12-20,14-17,15-20,Jln Jim Quee
173,160A,1,SBST,TRUNK,28009.0,43671.0,13-15,15-15,15-15,14-15,
174,161,1,SBST,TRUNK,64009.0,46009.0,5-9,6-11,7-9,9-13,
175,161,2,SBST,TRUNK,46009.0,64009.0,5-10,6-10,6-10,8-12,
176,162,1,SBST,TRUNK,55509.0,3239.0,10-11,09-15,09-10,-,
177,162,2,SBST,TRUNK,3239.0,55509.0,14-15,08-15,12-19,19-19,
178,162M,1,SBST,TRUNK,55509.0,55509.0,11-13,12-15,14-15,14-15,Temasek Ave
179,163,1,SBST,TRUNK,67009.0,52009.0,09-12,09-16,10-17,14-18,
180,163,2,SBST,TRUNK,52009.0,67009.0,10-15,07-18,07-15,10-17,
181,163A,1,SBST,TRUNK,67009.0,67651.0,-,-,-,16-17,
182,165,1,SBST,TRUNK,64009.0,17009.0,08-14,09-17,10-11,13-17,
183,165,2,SBST,TRUNK,17009.0,64009.0,10-12,09-14,09-15,12-15,
184,166,1,SBST,TRUNK,54009.0,17009.0,08-10,08-19,09-13,13-19,
185,166,2,SBST,TRUNK,17009.0,54009.0,09-11,06-16,10-18,13-19,
186,168,1,SBST,TRUNK,84009.0,46009.0,5-9,6-11,6-11,10-13,
187,168,2,SBST,TRUNK,46009.0,84009.0,5-7,6-12,6-9,8-12,
188,170,1,SBST,TRUNK,1109.0,46239.0,12-18,13-20,18-19,12-15,
189,170,2,SBST,TRUNK,46239.0,1109.0,14-15,13-18,17-18,13-18,
190,170A,1,SBST,TRUNK,1109.0,46069.0,19-21,16-28,20-21,15-21,
191,170X,1,SBST,TRUNK,45131.0,47711.0,04-09,05-17,05-09,07-11,
192,170X,2,SBST,TRUNK,47711.0,45139.0,06-10,05-17,05-09,07-11,
193,174,1,SBST,TRUNK,22009.0,10499.0,09-10,05-14,12-19,12-19,
194,174,2,SBST,TRUNK,10499.0,22009.0,14-15,08-14,12-15,14-16,
195,174e,1,SBST,EXPRESS,22009.0,10499.0,13-13,-,-,-,
196,174e,2,SBST,EXPRESS,10499.0,22009.0,-,-,13-14,-,
197,175,1,SBST,TRUNK,17009.0,80009.0,11-15,10-20,15-15,17-19,
198,175,2,SBST,TRUNK,80009.0,17009.0,10-13,12-19,11-18,20-20,
199,179,1,SBST,TRUNK,22009.0,22009.0,04-08,03-06,04-06,05-07,Nanyang Dr
200,179A,1,SBST,TRUNK,22009.0,22009.0,02-07,04-08,-,-,Nanyang Dr
201,18,1,SBST,TRUNK,75019.0,75019.0,11-14,12-17,15-17,12-15,Bedok Nth Dr
202,181,1,SBST,TRUNK,22009.0,22009.0,6-8,6-10,6-8,7-12,Jurong West Ave 3
203,181M,1,SBST,TRUNK,22009.0,22009.0,06-07,-,-,-,Jurong West St 23
204,182,1,SBST,TRUNK,24009.0,24009.0,07-09,08-18,-,17-18,Tuas Sth Ave 9
205,182M,1,SBST,TRUNK,24009.0,24009.0,-,07-19,08-11,11-19,Tuas Sth Ave 9
206,185,1,SBST,TRUNK,22609.0,11389.0,10-18,11-18,12-15,13-15,
207,185,2,SBST,TRUNK,11379.0,22199.0,10-17,10-15,10-20,14-16,
208,186,1,SBST,TRUNK,3239.0,52499.0,14-17,11-19,11-14,11-17,
209,186,2,SBST,TRUNK,52499.0,3239.0,9-14,11-18,14-19,15-19,
210,19,1,SBST,TRUNK,75009.0,75009.0,06-07,06-16,06-08,08-14,Airport Cargo Rd
211,191,1,SBST,TRUNK,11379.0,11379.0,15-20,15-20,15-15,20-20,Media Circle
212,192,1,SBST,TRUNK,22009.0,25009.0,06-10,07-15,07-10,07-13,
213,192,2,SBST,TRUNK,25009.0,22009.0,08-09,07-13,05-09,13-14,
214,193,1,SBST,TRUNK,22009.0,25009.0,06-10,05-19,07-18,07-19,
215,193,2,SBST,TRUNK,25009.0,22009.0,09-18,07-19,07-09,08-18,
216,194,1,SBST,TRUNK,22009.0,22009.0,09-10,09-13,09-16,15-16,Jln Ahmad Ibrahim
217,195,1,SBST,TRUNK,2099.0,2089.0,08-13,07-23,08-17,08-16,C'wealth Ave
218,195A,1,SBST,TRUNK,2099.0,10169.0,-,23-53,-,-,C'wealth Ave
219,196,1,SBST,TRUNK,84009.0,17009.0,07-08,06-17,09-11,09-14,
220,196,2,SBST,TRUNK,17009.0,84009.0,11-14,05-15,08-13,11-13,
221,196A,1,SBST,TRUNK,84009.0,3218.0,-,-,-,-,
222,196e,1,SBST,EXPRESS,93049.0,3218.0,08-08,-,-,-,
223,196e,2,SBST,EXPRESS,3222.0,93041.0,-,-,08-08,-,
224,197,1,SBST,TRUNK,84009.0,28009.0,10-11,08-18,10-16,11-18,
225,197,2,SBST,TRUNK,28009.0,84009.0,07-16,09-18,10-15,13-15,
226,198,1,SBST,TRUNK,22009.0,10009.0,4-9,5-12,6-8,6-14,
227,198,2,SBST,TRUNK,10009.0,22009.0,4-9,5-12,5-9,9-13,
228,198A,1,SBST,TRUNK,22009.0,28459.0,-,-,09-17,08-19,
229,199,1,SBST,TRUNK,22009.0,22009.0,04-09,04-16,06-08,06-15,Nanyang Cres
230,1N,1,SBST,NIGHT SERVICE,2099.0,59561.0,-,-,-,40-40,
231,20,1,SBST,TRUNK,75009.0,75009.0,09-11,10-13,10-12,11-15,Changi Business Pk Ave 3
232,200,1,SBST,TRUNK,11379.0,11389.0,9-10,9-30,9-10,14-27,Clementi Rd
233,200A,1,SBST,TRUNK,11379.0,16009.0,-,-,-,-,Clementi Rd
234,201,1,SBST,TRUNK,16009.0,16009.0,10-12,11-15,10-14,12-15,Pandan Gdns
235,21,1,SBST,TRUNK,77009.0,52499.0,07-12,08-15,11-14,12-14,
236,21,2,SBST,TRUNK,52499.0,77009.0,09-11,08-14,09-14,12-15,
237,21A,1,SBST,TRUNK,80089.0,7231.0,-,-,05-24,-,
238,22,1,SBST,TRUNK,54009.0,75009.0,08-10,10-18,08-10,13-18,
239,22,2,SBST,TRUNK,75009.0,54009.0,09-10,09-17,09-10,10-15,
240,222,1,SBST,FEEDER,84009.0,84009.0,04-07,04-10,05-06,05-14,Chai Chee Dr
241,222A,1,SBST,FEEDER,84009.0,84039.0,26-26,-,-,-,
242,222B,1,SBST,FEEDER,84039.0,84031.0,31-45,-,35-35,46-46,Chai Chee Dr
243,225G,1,SBST,FEEDER,84009.0,84009.0,03-05,03-13,03-06,04-12,Bedok Nth St 3
244,225W,1,SBST,FEEDER,84009.0,84009.0,04-06,05-09,04-07,04-10,Bedok Nth St 3
245,228,1,SBST,FEEDER,84009.0,84009.0,8-9,8-17,8-10,9-26,Bedok Reservoir Rd
246,229,1,SBST,FEEDER,84009.0,84009.0,7-9,8-14,7-9,7-16,Bedok Sth Rd
247,23,1,SBST,TRUNK,75009.0,75009.0,06-07,05-12,06-09,08-16,Rochor Canal Rd
248,231,1,SBST,FEEDER,52009.0,52009.0,9-9,8-13,9-10,9-11,Lor 5 Toa Payoh
249,232,1,SBST,FEEDER,52009.0,52009.0,05-06,05-09,05-06,05-11,Toa Payoh East
250,235,1,SBST,FEEDER,52009.0,52009.0,6-8,7-10,7-8,7-11,Toa Payoh Rise
251,238,1,SBST,FEEDER,52009.0,52009.0,3-6,2-7,2-6,3-6,Lor 8 Toa Payoh
252,24,1,SBST,TRUNK,54009.0,54009.0,08-09,08-11,08-13,13-15,PTB2 Basement
253,240,1,SBST,FEEDER,22009.0,22009.0,7-8,6-10,6-9,8-12,Jln Ahmad Ibrahim
254,240A,1,SBST,FEEDER,21581.0,28091.0,05-14,-,-,-,
255,240M,1,SBST,TRUNK,28091.0,28099.0,18-18,-,18-18,-,Jurong West St 64
256,241,1,SBST,FEEDER,22009.0,22009.0,5-7,3-9,3-4,3-8,Jurong West St 91
257,241A,1,SBST,FEEDER,27271.0,22529.0,05-16,05-20,-,-,Jurong West St 91
258,242,1,SBST,FEEDER,22009.0,22009.0,6-7,6-10,6-9,6-10,Jurong West Ave 5
259,243G,1,SBST,FEEDER,22009.0,22009.0,05-06,03-06,04-04,04-08,Jurong West Ave 5
260,243W,1,SBST,FEEDER,22009.0,22009.0,05-08,03-07,03-05,03-10,Jurong West Ave 5
261,246,1,SBST,INDUSTRIAL,22009.0,22009.0,11-12,11-16,11-14,15-19,Boon Lay Dr
262,247,1,SBST,INDUSTRIAL,25009.0,25009.0,10-10,10-15,10-13,13-15,Tuas Bay Link
263,248,1,SBST,INDUSTRIAL,25009.0,25009.0,10-10,10-15,10-12,12-15,Tuas Sth Ave 14
264,249,1,SBST,INDUSTRIAL,22009.0,22009.0,6-9,6-18,8-10,13-26,Jln Samulun
265,25,1,SBST,TRUNK,54009.0,94009.0,05-06,05-11,05-08,12-16,
266,25,2,SBST,TRUNK,94009.0,54009.0,05-06,05-11,05-06,06-14,
267,251,1,SBST,INDUSTRIAL,22009.0,22009.0,06-07,08-18,08-11,11-18,Shipyard Rd
268,252,1,SBST,INDUSTRIAL,22009.0,22009.0,8-10,7-18,7-9,8-20,Joo Koon Rd
269,253,1,SBST,INDUSTRIAL,24009.0,24009.0,09-10,10-14,10-12,12-14,Benoi Rd
270,254,1,SBST,TRUNK,24009.0,24009.0,07-08,07-14,07-11,11-15,Tuas Ave 11
271,255,1,SBST,INDUSTRIAL,24009.0,24009.0,07-07,07-11,07-07,10-14,Gul Cres
272,257,1,SBST,INDUSTRIAL,24009.0,24009.0,6-6,6-15,6-6,6-16,Pioneer Sector 2
273,258,1,SBST,INDUSTRIAL,24009.0,24009.0,10-12,11-14,11-14,11-14,Jurong West St 64
274,26,1,SBST,TRUNK,84009.0,52009.0,08-09,08-13,08-10,08-13,
275,26,2,SBST,TRUNK,52009.0,84009.0,07-10,08-11,09-10,09-13,
276,261,1,SBST,FEEDER,54009.0,54009.0,04-05,05-07,04-06,05-09,Ang Mo Kio Ave 10
277,262,1,SBST,FEEDER,54009.0,54009.0,07-08,10-12,07-10,08-15,Ang Mo Kio Ave 2
278,265,1,SBST,FEEDER,55009.0,55009.0,05-07,05-11,05-07,07-13,Ang Mo Kio Ave 10
279,268,1,SBST,FEEDER,55009.0,55009.0,06-08,07-13,07-08,07-14,Ang Mo Kio Ave 5
280,268A,1,SBST,FEEDER,55009.0,54659.0,28-30,-,-,-,Ang Mo Kio Ave 5
281,268B,1,SBST,FEEDER,55309.0,54261.0,34-35,-,33-33,-,
282,268C,1,SBST,FEEDER,54269.0,55301.0,31-31,-,34-34,-,
283,269,1,SBST,FEEDER,54009.0,54009.0,04-06,04-08,04-06,05-14,Ang Mo Kio St 61
284,269A,1,SBST,FEEDER,54009.0,55169.0,-,19-22,16-26,11-51,Ang Mo Kio St 61
285,27,1,SBST,TRUNK,64009.0,64009.0,06-08,06-08,07-10,09-11,PTB2 Basement
286,272,1,SBST,FEEDER,10009.0,10009.0,8-10,7-16,8-12,12-16,Telok Blangah Rise
287,273,1,SBST,FEEDER,10009.0,10009.0,7-9,7-12,8-10,8-14,Henderson Rd
288,27A,1,SBST,TRUNK,67261.0,76139.0,05-12,07-08,-,-,
289,28,1,SBST,TRUNK,75009.0,52009.0,09-12,07-14,13-16,13-14,
290,28,2,SBST,TRUNK,52009.0,75009.0,09-14,07-15,07-11,12-17,
291,29,1,SBST,TRUNK,75009.0,75009.0,08-10,07-15,09-10,09-20,Changi Village Rd
292,291,1,SBST,FEEDER,75009.0,75009.0,03-05,03-09,03-06,05-12,Tampines St 81
293,292,1,SBST,FEEDER,75009.0,75009.0,08-08,09-15,08-08,10-15,Tampines St 22
294,293,1,SBST,FEEDER,75009.0,75009.0,04-06,04-08,04-08,06-14,Tampines St 71
295,298,1,SBST,FEEDER,75019.0,75019.0,10-10,10-12,10-12,10-16,Tampines Street 86
296,29A,1,SBST,TRUNK,75009.0,76241.0,-,-,26-38,36-36,
297,2N,1,SBST,NIGHT SERVICE,2099.0,75109.0,-,-,-,40-40,
298,30,1,SBST,TRUNK,84009.0,22009.0,08-09,06-18,14-15,11-16,
299,30,2,SBST,TRUNK,22009.0,84009.0,09-10,08-15,08-15,11-18,
300,30e,1,SBST,EXPRESS,84009.0,16061.0,12-12,-,-,-,
301,30e,2,SBST,EXPRESS,16069.0,84009.0,-,-,12-12,-,
302,31,1,SBST,TRUNK,75009.0,52009.0,06-11,06-17,09-11,14-15,
303,31,2,SBST,TRUNK,52009.0,75009.0,09-09,08-16,09-10,13-17,
304,315,1,SBST,FEEDER,66009.0,66009.0,8-9,8-14,9-10,10-14,S'goon Nth Ave 5
305,317,1,SBST,FEEDER,66009.0,66009.0,7-9,8-16,8-10,9-17,Berwick Dr
306,31A,1,SBST,TRUNK,75009.0,85099.0,08-11,10-29,-,-,
307,32,1,SBST,TRUNK,84009.0,11389.0,10-17,10-18,14-18,15-17,
308,32,2,SBST,TRUNK,11379.0,84009.0,12-14,09-20,12-13,15-19,
309,324,1,SBST,FEEDER,64009.0,64009.0,09-10,09-15,09-10,09-15,Upp Serangoon View
310,325,1,SBST,FEEDER,64009.0,64009.0,9-10,9-13,9-10,10-13,Hougang St 91
311,329,1,SBST,FEEDER,64009.0,64009.0,10-10,12-12,10-12,10-15,Buangkok Cres
312,33,1,SBST,TRUNK,84009.0,16009.0,09-16,09-16,12-14,12-15,
313,33,2,SBST,TRUNK,16009.0,84009.0,08-14,08-16,09-11,11-16,
314,33A,1,SBST,TRUNK,16009.0,10149.0,-,-,-,-,
315,33B,1,SBST,TRUNK,84009.0,81179.0,17-17,09-41,-,-,
316,35,1,SBST,TRUNK,84009.0,84009.0,09-10,09-15,09-15,15-15,Alps Ave
317,35M,1,SBST,TRUNK,84009.0,84009.0,-,-,-,15-20,Tanah Merah Ferry Rd
318,37,1,SBST,TRUNK,75009.0,75009.0,09-09,09-17,10-12,12-12,Changi Nth Cres
319,371,1,SBST,FEEDER,67009.0,67009.0,10-10,8-13,10-13,8-14,Rivervale Cres
320,372,1,SBST,FEEDER,67009.0,67009.0,7-9,8-12,9-10,8-11,Punggol Rd
321,374,1,SBST,FEEDER,67759.0,67759.0,11-11,12-12,10-12,11-15,Fernvale Rd
322,38,1,SBST,TRUNK,75009.0,84009.0,09-10,09-14,09-14,12-15,
323,38,2,SBST,TRUNK,84009.0,75009.0,09-10,08-14,09-10,11-16,
324,39,1,SBST,TRUNK,75019.0,59009.0,07-13,08-15,08-10,14-18,
325,39,2,SBST,TRUNK,59009.0,75019.0,08-12,07-14,09-10,13-16,
326,3N,1,SBST,NIGHT SERVICE,2099.0,45301.0,-,-,-,40-40,
327,4,1,SBST,TRUNK,75009.0,75009.0,10-12,11-13,10-13,11-12,Changi Nth Way
328,40,1,SBST,TRUNK,84009.0,84009.0,12-14,13-18,15-18,18-20,Merpati Rd
329,400,1,SBST,TRUNK,3239.0,3239.0,15-15,18-20,14-15,19-20,Marina Gdns Dr
330,401,1,SBST,TRUNK,84009.0,84009.0,-,21-25,25-26,25-27,Fort Rd
331,402,1,SBST,TRUNK,3239.0,3239.0,08-13,11-18,13-18,15-17,Marina Coastal Dr
332,405,1,SBST,TRUNK,22009.0,22009.0,22-22,25-26,-,-,Old Choa Chu Kang Rd
333,410,1,SBST,FEEDER,53009.0,53009.0,05-06,05-10,04-05,04-12,Shunfu Rd
334,410,2,SBST,FEEDER,53009.0,53009.0,05-06,05-12,06-06,06-14,Shunfu Rd
335,410G,1,SBST,FEEDER,53009.0,53009.0,05-07,06-12,06-07,06-14,Shunfu Rd
336,410W,1,SBST,FEEDER,53009.0,53009.0,05-06,05-10,04-05,04-12,Shunfu Rd
337,42,1,SBST,TRUNK,83321.0,83321.0,09-11,09-19,10-15,08-18,Fidelio St
338,45,1,SBST,TRUNK,94009.0,55009.0,08-16,08-18,08-13,08-18,
339,45,2,SBST,TRUNK,55009.0,94009.0,11-14,08-19,08-10,16-18,
340,45A,1,SBST,TRUNK,63291.0,62139.0,26-27,-,-,-,
341,46,1,SBST,TRUNK,94009.0,75009.0,12-12,13-15,12-12,12-16,
342,46,2,SBST,TRUNK,75009.0,94009.0,12-12,14-15,12-15,12-16,
343,47,1,SBST,TRUNK,97009.0,97009.0,09-10,09-13,10-10,12-14,Amber Rd
344,48,1,SBST,TRUNK,84431.0,11379.0,06-09,07-17,11-13,13-19,
345,48,2,SBST,TRUNK,11379.0,84299.0,10-13,09-16,08-17,14-18,
346,4N,1,SBST,NIGHT SERVICE,2099.0,78059.0,-,-,-,40-40,
347,5,1,SBST,TRUNK,77009.0,10009.0,06-14,07-17,12-14,12-18,
348,5,2,SBST,TRUNK,10009.0,77009.0,09-13,09-16,08-16,11-17,
349,50,1,SBST,TRUNK,53009.0,65009.0,08-13,09-13,10-13,12-15,
350,50,2,SBST,TRUNK,65009.0,53009.0,08-14,10-14,11-15,12-13,
351,502,1,SBST,EXPRESS,22609.0,22609.0,15-15,13-22,11-22,18-22,Central Blvd
352,502A,1,SBST,EXPRESS,22609.0,3529.0,20-20,-,-,-,
353,506,1,SBST,EXPRESS,28009.0,94009.0,12-15,12-22,16-24,19-24,
354,506,2,SBST,EXPRESS,94009.0,28009.0,15-19,14-22,13-18,19-21,
355,51,1,SBST,TRUNK,64009.0,28009.0,10-11,08-19,11-13,12-15,
356,51,2,SBST,TRUNK,28009.0,64009.0,12-14,09-17,08-16,10-16,
357,513,1,SBST,EXPRESS,75129.0,3218.0,07-08,-,-,-,
358,513,2,SBST,EXPRESS,3222.0,75121.0,-,-,15-15,-,
359,51A,1,SBST,TRUNK,28009.0,20191.0,-,-,-,17-17,
360,52,1,SBST,TRUNK,53009.0,28009.0,09-13,09-16,11-13,13-15,
361,52,2,SBST,TRUNK,28009.0,53009.0,08-16,10-17,11-20,14-19,
362,53,1,SBST,TRUNK,53009.0,53009.0,07-11,05-11,06-12,09-12,PTB2 Basement
363,53A,1,SBST,TRUNK,77289.0,95129.0,-,-,-,-,PTB2 Basement
364,53M,1,SBST,TRUNK,63261.0,63269.0,6-17,4-25,7-22,5-23,S'goon Ctrl
365,54,1,SBST,TRUNK,53009.0,10499.0,10-15,11-15,13-15,12-15,
366,54,2,SBST,TRUNK,10499.0,53009.0,13-19,10-15,11-18,11-18,
367,55,1,SBST,TRUNK,53009.0,94009.0,08-10,09-13,11-14,13-19,
368,55,2,SBST,TRUNK,94009.0,53009.0,09-10,09-15,09-14,12-14,
369,55B,1,SBST,TRUNK,53009.0,54381.0,-,-,-,15-15,
370,56,1,SBST,TRUNK,53009.0,2099.0,10-11,10-18,13-14,13-17,
